partecipant,auc,meanEDA,stdEDA,kurtEDA,meanDerivative,activity,mobility,complexity,category
1,1063310.869,5.72960145595214,0.244233201264075,1.85983858520934,-4.4831934131543e-06,0.0596498565996982,0.0596498565996982,0.0596498565996982,1
1,879881.231500002,7.41477096412663,0.302049812099844,1.75807219316492,-7.54217720324271e-06,0.091234088989551,0.091234088989551,0.091234088989551,3
1,1166440.12799999,7.94854000681437,0.781695050304994,1.85848247783423,-1.76219258734301e-05,0.611047151671328,0.611047151671328,0.611047151671328,6
1,2141355.37550002,10.8698768883251,5.36577134733822,1.26929388098605,6.07363489154767e-05,28.7915021519158,28.7915021519158,28.7915021519158,7
1,857814.348000016,5.96744881391335,0.301020074488281,4.27613784882265,7.51309574327474e-06,0.0906130852449304,0.0906130852449304,0.0906130852449304,8
1,7868461.54699993,8.19632209166618,3.31591031728989,3.28364409700022,-3.72917055121932e-06,10.9952612323095,10.9952612323095,10.9952612323095,11
1,902316.306999981,7.51936173333274,0.20469565335294,2.61652455721333,2.36668638905325e-06,0.0419003105015869,0.0419003105015869,0.0419003105015869,12
2,3607988.79700002,19.4414765792126,4.32310065327721,2.02511800027097,-3.79454904031641e-05,18.6891992583658,18.6891992583658,18.6891992583658,1
2,2101560.354,17.7098525116503,2.42625725527197,1.84242209348689,-2.53147489592638e-05,5.88672426875987,5.88672426875987,5.88672426875987,3
2,2396867.073,16.3331126064736,4.45555525286168,1.95012363424599,-9.70364363641319e-05,19.8519726113033,19.8519726113033,19.8519726113033,6
2,5962848.54100004,30.2683638172588,9.13565906134561,2.52662774949473,0.000101046198204052,83.4602664851461,83.4602664851461,83.4602664851461,7
2,3873461.36150001,26.945979255652,6.44557754455118,1.80133449747304,0.000138261831386653,41.5454698828225,41.5454698828225,41.5454698828225,8
2,14607084.8994997,15.2157253593743,6.84950544113703,2.4501046405314,-4.80521333876392e-06,46.9157247881657,46.9157247881657,46.9157247881657,11
2,3115893.39700003,25.9660012000006,1.88868344054565,1.80350716772888,-3.87669897249144e-05,3.56712513859136,3.56712513859136,3.56712513859136,12
3,5567741.27649996,30.0015145837709,1.07481007619812,3.73929955032247,-1.18276556993674e-05,1.15521669989701,1.15521669989701,1.15521669989701,1
3,3461508.78500001,29.170179013542,1.06942257310428,2.30421894014203,-2.55169972865016e-05,1.14366463986498,1.14366463986498,1.14366463986498,3
3,4540915.64450002,30.9434346303234,1.53899671768041,2.08451123152122,8.74281937185263e-06,2.36851089703108,2.36851089703108,2.36851089703108,6
3,5370262.43899996,27.2603426192895,6.09797988802679,1.5661101894816,8.85182158285068e-05,37.1853587147793,37.1853587147793,37.1853587147793,7
3,4242746.83499997,29.5149478191303,4.28319758188119,1.91351732869188,9.8546772499287e-05,18.3457815254329,18.3457815254329,18.3457815254329,8
3,24761457.6879995,25.7932127145836,6.10958913985078,1.68361752655423,1.2781263313816e-05,37.3270794577826,37.3270794577826,37.3270794577826,11
3,3961291.729,33.0110384666663,1.03393041734984,166.581528305411,-1.84334869457246e-05,1.06901210792122,1.06901210792122,1.06901210792122,12
4,5556240.06649997,29.9395447589488,4.46635679782144,2.31367750671793,-9.38614736342964e-05,19.9483430454458,19.9483430454458,19.9483430454458,1
4,1456183.12849999,12.271265693074,0.820675669020266,1.67611344579306,2.06461834055247e-06,0.673508553721861,0.673508553721861,0.673508553721861,3
4,3130026.04349998,21.3291094310053,3.79532154216442,1.62259256606591,-7.75405624569844e-05,14.4044656084173,14.4044656084173,14.4044656084173,6
4,5423406.04800005,27.5301040203044,7.65912776135801,1.61795653327973,9.33811846760644e-05,58.662238064805,58.662238064805,58.662238064805,7
4,2631081.51499998,18.3033130852173,3.31445985592926,2.55507550012881,7.62440086539732e-05,10.9856441365666,10.9856441365666,10.9856441365666,8
4,19650097.4864998,20.4688851916661,8.13915896057598,2.53271487102357,1.43177232476286e-05,66.2459085855243,66.2459085855243,66.2459085855243,11
