partecipant,auc,meanEDA,stdEDA,kurtEDA,meanDerivative,activity,mobility,complexity,category
1,1063310.869,5.72960145595214,0.244233201264075,1.85983858520934,-4.4831934131543e-06,0.0596498565996982,0.0596498565996982,0.0596498565996982,1
1,1383318.67200001,7.99228089991508,0.8399674370502,7.20734697306785,1.85230122138639e-05,0.705545295304682,0.705545295304682,0.705545295304682,2
1,879881.231500002,7.41477096412663,0.302049812099844,1.75807219316492,-7.54217720324271e-06,0.091234088989551,0.091234088989551,0.091234088989551,3
1,1841235.04249998,11.4988064761906,1.53987942867263,1.77347273242796,-2.77472458844396e-05,2.37122865484916,2.37122865484916,2.37122865484916,4
1,703010.011999996,4.84420200516727,0.108720110193921,1.73181251332249,-1.9293845263361e-06,0.0118200623605784,0.0118200623605784,0.0118200623605784,5
1,1166440.12799999,7.94854000681437,0.781695050304994,1.85848247783423,-1.76219258734301e-05,0.611047151671328,0.611047151671328,0.611047151671328,6
1,2141355.37550002,10.8698768883251,5.36577134733822,1.26929388098605,6.07363489154767e-05,28.7915021519158,28.7915021519158,28.7915021519158,7
1,857814.348000016,5.96744881391335,0.301020074488281,4.27613784882265,7.51309574327474e-06,0.0906130852449304,0.0906130852449304,0.0906130852449304,8
1,1093883.76299999,10.7771781460281,0.814193833064692,1.67724000389152,-2.27192118226601e-05,0.662911597800576,0.662911597800576,0.662911597800576,10
1,7868461.54699993,8.19632209166618,3.31591031728989,3.28364409700022,-3.72917055121932e-06,10.9952612323095,10.9952612323095,10.9952612323095,11
1,902316.306999981,7.51936173333274,0.20469565335294,2.61652455721333,2.36668638905325e-06,0.0419003105015869,0.0419003105015869,0.0419003105015869,12
2,3607988.79700002,19.4414765792126,4.32310065327721,2.02511800027097,-3.79454904031641e-05,18.6891992583658,18.6891992583658,18.6891992583658,1
2,3846439.26600004,22.2231953975833,10.2807505091108,1.37285990594526,0.000116465028136952,105.693831030581,105.693831030581,105.693831030581,2
2,2101560.354,17.7098525116503,2.42625725527197,1.84242209348689,-2.53147489592638e-05,5.88672426875987,5.88672426875987,5.88672426875987,3
2,1151446.451,7.19096282903996,1.15283442009234,1.53195180767817,-1.28775199220604e-05,1.32902720014964,1.32902720014964,1.32902720014964,4
2,1916508.2395,13.2059968716624,1.29493759712622,1.73005421534364,-1.59243130012954e-05,1.67686338045103,1.67686338045103,1.67686338045103,5
2,2396867.073,16.3331126064736,4.45555525286168,1.95012363424599,-9.70364363641319e-05,19.8519726113033,19.8519726113033,19.8519726113033,6
2,5962848.54100004,30.2683638172588,9.13565906134561,2.52662774949473,0.000101046198204052,83.4602664851461,83.4602664851461,83.4602664851461,7
2,3873461.36150001,26.945979255652,6.44557754455118,1.80133449747304,0.000138261831386653,41.5454698828225,41.5454698828225,41.5454698828225,8
2,1917562.37550001,18.8922446872446,3.32087767109743,1.75762765927827,-0.000110197044334975,11.0282285063935,11.0282285063935,11.0282285063935,10
2,14607084.8994997,15.2157253593743,6.84950544113703,2.4501046405314,-4.80521333876392e-06,46.9157247881657,46.9157247881657,46.9157247881657,11
2,3115893.39700003,25.9660012000006,1.88868344054565,1.80350716772888,-3.87669897249144e-05,3.56712513859136,3.56712513859136,3.56712513859136,12
3,5567741.27649996,30.0015145837709,1.07481007619812,3.73929955032247,-1.18276556993674e-05,1.15521669989701,1.15521669989701,1.15521669989701,1
3,4906766.7835,28.3493724802557,1.00086241137692,2.27168100948025,1.44382431448677e-05,1.00172556650723,1.00172556650723,1.00172556650723,2
3,3461508.78500001,29.170179013542,1.06942257310428,2.30421894014203,-2.55169972865016e-05,1.14366463986498,1.14366463986498,1.14366463986498,3
3,3968638.34099999,24.7847778235754,2.56424177206266,1.94392888795672,-4.47653068871625e-05,6.57533586559103,6.57533586559103,6.57533586559103,4
3,2692589.95049999,18.5537132334191,1.30059206632976,2.48779345773338,-1.88459524268901e-05,1.69153972299991,1.69153972299991,1.69153972299991,5
3,4540915.64450002,30.9434346303234,1.53899671768041,2.08451123152122,8.74281937185263e-06,2.36851089703108,2.36851089703108,2.36851089703108,6
3,5370262.43899996,27.2603426192895,6.09797988802679,1.5661101894816,8.85182158285068e-05,37.1853587147793,37.1853587147793,37.1853587147793,7
3,4242746.83499997,29.5149478191303,4.28319758188119,1.91351732869188,9.8546772499287e-05,18.3457815254329,18.3457815254329,18.3457815254329,8
3,2267216.37850001,22.3371033881442,1.27612169206393,2.24406810364164,-3.12216748768473e-05,1.6284865729561,1.6284865729561,1.6284865729561,10
3,24761457.6879995,25.7932127145836,6.10958913985078,1.68361752655423,1.2781263313816e-05,37.3270794577826,37.3270794577826,37.3270794577826,11
3,3961291.729,33.0110384666663,1.03393041734984,166.581528305411,-1.84334869457246e-05,1.06901210792122,1.06901210792122,1.06901210792122,12
4,5556240.06649997,29.9395447589488,4.46635679782144,2.31367750671793,-9.38614736342964e-05,19.9483430454458,19.9483430454458,19.9483430454458,1
4,3050461.41149999,17.6243576723305,3.21894780978118,1.52655723165028,-3.41861083186004e-05,10.3616250020951,10.3616250020951,10.3616250020951,2
4,1456183.12849999,12.271265693074,0.820675669020266,1.67611344579306,2.06461834055247e-06,0.673508553721861,0.673508553721861,0.673508553721861,3
4,3205710.4205,20.0201621670572,3.44338481497677,1.53760609691195,-4.72446354075592e-05,11.8568989840126,11.8568989840126,11.8568989840126,4
4,2895758.22450002,19.9536491645134,1.98030960871259,7.13947179586331,5.04051707505306e-05,3.92162614635943,3.92162614635943,3.92162614635943,5
